,Category,Accident_Type,Year,Month,Value
26,alcohol accidents,all in all,2020,1,28.0
27,alcohol accidents,all in all,2020,2,40.0
28,alcohol accidents,all in all,2020,3,27.0
29,alcohol accidents,all in all,2020,4,26.0
30,alcohol accidents,all in all,2020,5,40.0
31,alcohol accidents,all in all,2020,6,49.0
32,alcohol accidents,all in all,2020,7,58.0
33,alcohol accidents,all in all,2020,8,46.0
34,alcohol accidents,all in all,2020,9,46.0
35,alcohol accidents,all in all,2020,10,34.0
36,alcohol accidents,all in all,2020,11,23.0
37,alcohol accidents,all in all,2020,12,13.0
39,alcohol accidents,all in all,2019,1,22.0
40,alcohol accidents,all in all,2019,2,28.0
41,alcohol accidents,all in all,2019,3,34.0
42,alcohol accidents,all in all,2019,4,36.0
43,alcohol accidents,all in all,2019,5,39.0
44,alcohol accidents,all in all,2019,6,40.0
45,alcohol accidents,all in all,2019,7,48.0
46,alcohol accidents,all in all,2019,8,31.0
47,alcohol accidents,all in all,2019,9,47.0
48,alcohol accidents,all in all,2019,10,45.0
49,alcohol accidents,all in all,2019,11,29.0
50,alcohol accidents,all in all,2019,12,35.0
52,alcohol accidents,all in all,2018,1,22.0
53,alcohol accidents,all in all,2018,2,24.0
54,alcohol accidents,all in all,2018,3,32.0
55,alcohol accidents,all in all,2018,4,25.0
56,alcohol accidents,all in all,2018,5,34.0
57,alcohol accidents,all in all,2018,6,39.0
58,alcohol accidents,all in all,2018,7,51.0
59,alcohol accidents,all in all,2018,8,40.0
60,alcohol accidents,all in all,2018,9,36.0
61,alcohol accidents,all in all,2018,10,43.0
62,alcohol accidents,all in all,2018,11,31.0
63,alcohol accidents,all in all,2018,12,21.0
65,alcohol accidents,all in all,2017,1,19.0
66,alcohol accidents,all in all,2017,2,22.0
67,alcohol accidents,all in all,2017,3,36.0
68,alcohol accidents,all in all,2017,4,26.0
69,alcohol accidents,all in all,2017,5,29.0
70,alcohol accidents,all in all,2017,6,41.0
71,alcohol accidents,all in all,2017,7,52.0
72,alcohol accidents,all in all,2017,8,30.0
73,alcohol accidents,all in all,2017,9,47.0
74,alcohol accidents,all in all,2017,10,32.0
75,alcohol accidents,all in all,2017,11,33.0
76,alcohol accidents,all in all,2017,12,42.0
78,alcohol accidents,all in all,2016,1,21.0
79,alcohol accidents,all in all,2016,2,10.0
80,alcohol accidents,all in all,2016,3,20.0
81,alcohol accidents,all in all,2016,4,27.0
82,alcohol accidents,all in all,2016,5,25.0
83,alcohol accidents,all in all,2016,6,30.0
84,alcohol accidents,all in all,2016,7,35.0
85,alcohol accidents,all in all,2016,8,34.0
86,alcohol accidents,all in all,2016,9,29.0
87,alcohol accidents,all in all,2016,10,30.0
88,alcohol accidents,all in all,2016,11,20.0
89,alcohol accidents,all in all,2016,12,20.0
91,alcohol accidents,all in all,2015,1,22.0
92,alcohol accidents,all in all,2015,2,23.0
93,alcohol accidents,all in all,2015,3,23.0
94,alcohol accidents,all in all,2015,4,29.0
95,alcohol accidents,all in all,2015,5,50.0
96,alcohol accidents,all in all,2015,6,39.0
97,alcohol accidents,all in all,2015,7,49.0
98,alcohol accidents,all in all,2015,8,49.0
99,alcohol accidents,all in all,2015,9,45.0
100,alcohol accidents,all in all,2015,10,25.0
101,alcohol accidents,all in all,2015,11,30.0
102,alcohol accidents,all in all,2015,12,27.0
104,alcohol accidents,all in all,2014,1,21.0
105,alcohol accidents,all in all,2014,2,17.0
106,alcohol accidents,all in all,2014,3,37.0
107,alcohol accidents,all in all,2014,4,35.0
108,alcohol accidents,all in all,2014,5,28.0
109,alcohol accidents,all in all,2014,6,31.0
110,alcohol accidents,all in all,2014,7,35.0
111,alcohol accidents,all in all,2014,8,32.0
112,alcohol accidents,all in all,2014,9,43.0
113,alcohol accidents,all in all,2014,10,36.0
114,alcohol accidents,all in all,2014,11,42.0
115,alcohol accidents,all in all,2014,12,25.0
117,alcohol accidents,all in all,2013,1,17.0
118,alcohol accidents,all in all,2013,2,15.0
119,alcohol accidents,all in all,2013,3,21.0
120,alcohol accidents,all in all,2013,4,28.0
121,alcohol accidents,all in all,2013,5,33.0
122,alcohol accidents,all in all,2013,6,37.0
123,alcohol accidents,all in all,2013,7,42.0
124,alcohol accidents,all in all,2013,8,39.0
125,alcohol accidents,all in all,2013,9,47.0
126,alcohol accidents,all in all,2013,10,31.0
127,alcohol accidents,all in all,2013,11,35.0
128,alcohol accidents,all in all,2013,12,32.0
130,alcohol accidents,all in all,2012,1,21.0
131,alcohol accidents,all in all,2012,2,18.0
132,alcohol accidents,all in all,2012,3,21.0
133,alcohol accidents,all in all,2012,4,34.0
134,alcohol accidents,all in all,2012,5,54.0
135,alcohol accidents,all in all,2012,6,43.0
136,alcohol accidents,all in all,2012,7,56.0
137,alcohol accidents,all in all,2012,8,55.0
138,alcohol accidents,all in all,2012,9,49.0
139,alcohol accidents,all in all,2012,10,32.0
140,alcohol accidents,all in all,2012,11,30.0
141,alcohol accidents,all in all,2012,12,27.0
143,alcohol accidents,all in all,2011,1,25.0
144,alcohol accidents,all in all,2011,2,25.0
145,alcohol accidents,all in all,2011,3,22.0
146,alcohol accidents,all in all,2011,4,43.0
147,alcohol accidents,all in all,2011,5,43.0
148,alcohol accidents,all in all,2011,6,27.0
149,alcohol accidents,all in all,2011,7,39.0
150,alcohol accidents,all in all,2011,8,34.0
151,alcohol accidents,all in all,2011,9,36.0
152,alcohol accidents,all in all,2011,10,26.0
153,alcohol accidents,all in all,2011,11,40.0
154,alcohol accidents,all in all,2011,12,37.0
156,alcohol accidents,all in all,2010,1,19.0
157,alcohol accidents,all in all,2010,2,23.0
158,alcohol accidents,all in all,2010,3,31.0
159,alcohol accidents,all in all,2010,4,33.0
160,alcohol accidents,all in all,2010,5,34.0
161,alcohol accidents,all in all,2010,6,39.0
162,alcohol accidents,all in all,2010,7,48.0
163,alcohol accidents,all in all,2010,8,40.0
164,alcohol accidents,all in all,2010,9,54.0
165,alcohol accidents,all in all,2010,10,27.0
166,alcohol accidents,all in all,2010,11,28.0
167,alcohol accidents,all in all,2010,12,26.0
169,alcohol accidents,all in all,2009,1,23.0
170,alcohol accidents,all in all,2009,2,32.0
171,alcohol accidents,all in all,2009,3,14.0
172,alcohol accidents,all in all,2009,4,45.0
173,alcohol accidents,all in all,2009,5,57.0
174,alcohol accidents,all in all,2009,6,31.0
175,alcohol accidents,all in all,2009,7,44.0
176,alcohol accidents,all in all,2009,8,35.0
177,alcohol accidents,all in all,2009,9,49.0
178,alcohol accidents,all in all,2009,10,35.0
179,alcohol accidents,all in all,2009,11,31.0
180,alcohol accidents,all in all,2009,12,34.0
182,alcohol accidents,all in all,2008,1,32.0
183,alcohol accidents,all in all,2008,2,30.0
184,alcohol accidents,all in all,2008,3,30.0
185,alcohol accidents,all in all,2008,4,25.0
186,alcohol accidents,all in all,2008,5,57.0
187,alcohol accidents,all in all,2008,6,56.0
188,alcohol accidents,all in all,2008,7,52.0
189,alcohol accidents,all in all,2008,8,44.0
190,alcohol accidents,all in all,2008,9,49.0
191,alcohol accidents,all in all,2008,10,45.0
192,alcohol accidents,all in all,2008,11,27.0
193,alcohol accidents,all in all,2008,12,35.0
195,alcohol accidents,all in all,2007,1,36.0
196,alcohol accidents,all in all,2007,2,32.0
197,alcohol accidents,all in all,2007,3,38.0
198,alcohol accidents,all in all,2007,4,49.0
199,alcohol accidents,all in all,2007,5,63.0
