,Category,Accident_Type,Year,Month,Value
26,0,0,2020,1,28.0
27,0,0,2020,2,40.0
28,0,0,2020,3,27.0
29,0,0,2020,4,26.0
30,0,0,2020,5,40.0
31,0,0,2020,6,49.0
32,0,0,2020,7,58.0
33,0,0,2020,8,46.0
34,0,0,2020,9,46.0
35,0,0,2020,10,34.0
36,0,0,2020,11,23.0
37,0,0,2020,12,13.0
39,0,0,2019,1,22.0
40,0,0,2019,2,28.0
41,0,0,2019,3,34.0
42,0,0,2019,4,36.0
43,0,0,2019,5,39.0
44,0,0,2019,6,40.0
45,0,0,2019,7,48.0
46,0,0,2019,8,31.0
47,0,0,2019,9,47.0
48,0,0,2019,10,45.0
49,0,0,2019,11,29.0
50,0,0,2019,12,35.0
52,0,0,2018,1,22.0
53,0,0,2018,2,24.0
54,0,0,2018,3,32.0
55,0,0,2018,4,25.0
56,0,0,2018,5,34.0
57,0,0,2018,6,39.0
58,0,0,2018,7,51.0
59,0,0,2018,8,40.0
60,0,0,2018,9,36.0
61,0,0,2018,10,43.0
62,0,0,2018,11,31.0
63,0,0,2018,12,21.0
65,0,0,2017,1,19.0
66,0,0,2017,2,22.0
67,0,0,2017,3,36.0
68,0,0,2017,4,26.0
69,0,0,2017,5,29.0
70,0,0,2017,6,41.0
71,0,0,2017,7,52.0
72,0,0,2017,8,30.0
73,0,0,2017,9,47.0
74,0,0,2017,10,32.0
75,0,0,2017,11,33.0
76,0,0,2017,12,42.0
78,0,0,2016,1,21.0
79,0,0,2016,2,10.0
80,0,0,2016,3,20.0
81,0,0,2016,4,27.0
82,0,0,2016,5,25.0
83,0,0,2016,6,30.0
84,0,0,2016,7,35.0
85,0,0,2016,8,34.0
86,0,0,2016,9,29.0
87,0,0,2016,10,30.0
88,0,0,2016,11,20.0
89,0,0,2016,12,20.0
91,0,0,2015,1,22.0
92,0,0,2015,2,23.0
93,0,0,2015,3,23.0
94,0,0,2015,4,29.0
95,0,0,2015,5,50.0
96,0,0,2015,6,39.0
97,0,0,2015,7,49.0
98,0,0,2015,8,49.0
99,0,0,2015,9,45.0
100,0,0,2015,10,25.0
101,0,0,2015,11,30.0
102,0,0,2015,12,27.0
104,0,0,2014,1,21.0
105,0,0,2014,2,17.0
106,0,0,2014,3,37.0
107,0,0,2014,4,35.0
108,0,0,2014,5,28.0
109,0,0,2014,6,31.0
110,0,0,2014,7,35.0
111,0,0,2014,8,32.0
112,0,0,2014,9,43.0
113,0,0,2014,10,36.0
114,0,0,2014,11,42.0
115,0,0,2014,12,25.0
117,0,0,2013,1,17.0
118,0,0,2013,2,15.0
119,0,0,2013,3,21.0
120,0,0,2013,4,28.0
121,0,0,2013,5,33.0
122,0,0,2013,6,37.0
123,0,0,2013,7,42.0
124,0,0,2013,8,39.0
125,0,0,2013,9,47.0
126,0,0,2013,10,31.0
127,0,0,2013,11,35.0
128,0,0,2013,12,32.0
130,0,0,2012,1,21.0
131,0,0,2012,2,18.0
132,0,0,2012,3,21.0
133,0,0,2012,4,34.0
134,0,0,2012,5,54.0
135,0,0,2012,6,43.0
136,0,0,2012,7,56.0
137,0,0,2012,8,55.0
138,0,0,2012,9,49.0
139,0,0,2012,10,32.0
140,0,0,2012,11,30.0
141,0,0,2012,12,27.0
143,0,0,2011,1,25.0
144,0,0,2011,2,25.0
145,0,0,2011,3,22.0
146,0,0,2011,4,43.0
147,0,0,2011,5,43.0
148,0,0,2011,6,27.0
149,0,0,2011,7,39.0
150,0,0,2011,8,34.0
151,0,0,2011,9,36.0
152,0,0,2011,10,26.0
153,0,0,2011,11,40.0
154,0,0,2011,12,37.0
156,0,0,2010,1,19.0
157,0,0,2010,2,23.0
158,0,0,2010,3,31.0
159,0,0,2010,4,33.0
160,0,0,2010,5,34.0
161,0,0,2010,6,39.0
162,0,0,2010,7,48.0
163,0,0,2010,8,40.0
164,0,0,2010,9,54.0
165,0,0,2010,10,27.0
166,0,0,2010,11,28.0
167,0,0,2010,12,26.0
